Location,Site Name,Sub Route,Via Route,Route,Des Code,Google Km,Grace Km,Total Km,A Hrs,Lead Hours,Lead Days,Lastdispatched,Lastdispatchcount,Mtd Count,Boxcount Packstage,Boxcount Pnastage SUM,Boxcount Cla,Boxcount Sprs Cla,Boxcount Clarackstg SUM,Boxcount Clagrid SUM,Boxcount Claholdstg SUM,Boxcount Loadlane SUM,Boxcount Clawinterstage SUM,Apps Boxcount,Nonapps Boxcount,Non Trading Boxcount,FMCG Boxcount,Total Box Count,Total Box Count_Stages,Apps Cft,Non Apps Cft,Non Trading Cft,Fmcg Cft,Apps Qty Ea,Non Apps Qty Ea,Non Trading Qty Ea,FMCG_QTY_ EA,TOTAL COGS,Hold Pkt,Total Pkg.,SN CFT,Total CFT,Total Qty
012-VMART BAHRAICH,BAHRAICH,R-33,"NUH,AGRA,KANPUR,BARABANKI",33,55,64,10,74,2,2,3,D-Oct-YY,167,2611,17,16,2,39,,,,22,,7,16,1,74,98,,24,16,,76,568,129,,1823,212568,11,83,0,116,2520
028-VMART KANPUR,KANPUR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,38,138,10,148,4,4,3,D-Oct-YY,53,887,1,9,,54,,,,9,,56,14,20,2,92,,207,21,14,1,2307,204,6022,18,916340,11,62,0,242,8551
029-VMART SAKET NAGAR,SAKET NAGAR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,100049,10,0,10,0,1,3,D-Oct-YY,139,982,5,6,,39,,,,5,,29,12,10,13,64,,114,19,14,13,1431,246,501,364,494766,12,43,0,160,2542
239-VMART LAL BANGLA-KANPUR,LAL BANGLA-KANPUR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,101228,138,10,148,,48,2,D-Oct-YY,84,1008,1,4,,40,,,,3,,30,18,8,2,58,,113,30,0,2,1563,233,5522,33,510460,32,16,0,144,7351
118-VMART MUNGER,MUNGER,R-35,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",35,101006,1249,20,1269,32,45,3,D-Oct-YY,96,883,7,21,1,77,,,,4,,41,36,22,36,135,,135,46,0,45,1752,663,1200,1051,750676,11,98,0,226,4666
146-VMART JAMALPUR,JAMALPUR,R-35,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",35,101041,10,0,10,0,1,1,D-Oct-YY,94,1257,6,45,,95,,,,9,,39,71,17,45,172,,142,139,11,53,1756,1184,1350,1095,789942,10,145,0,344,5385
199-VMART LAKHISARAI,LAKHISARAI,R-35,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",35,101152,38,5,43,1,5,4,D-Oct-YY,29,416,7,7,,39,,,,2,,22,11,11,22,66,,44,40,0,23,870,155,6572,588,390676,2,53,0,107,8185
200-VMART SHEIKHPURA,SHEIKHPURA,R-35,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",35,101156,212,10,222,6,8,4,D-Oct-YY,38,424,6,10,,49,,,,1,,24,18,11,23,76,,64,30,11,22,915,279,6972,510,435862,0,66,0,127,8676
094-VMART HALDWANI,HALDWANI,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100109,32,5,37,1,1,3,D-Oct-YY,89,1032,3,14,1,29,,,,1,,17,3,5,28,53,,63,7,0,30,795,54,144,715,302964,18,29,0,101,1708
095-VMART KASHIPUR,KASHIPUR,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100523,282,15,297,7,12,3,D-Oct-YY,57,823,5,7,,29,,,,1,,11,4,3,26,44,,42,7,0,27,638,38,60,628,207464,18,24,0,76,1364
105-VMART RUDRAPUR,RUDRAPUR,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100815,55,10,65,2,2,3,D-Oct-YY,46,731,8,33,,27,,,,,,12,5,4,51,72,,45,16,,68,725,80,,1437,249774,10,58,0,130,2242
053-VMART CHANDIGARH,CHANDIGARH,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,11,33,15,48,1,2,2,D-Oct-YY,99,740,4,18,,56,,,,1,,43,4,16,31,94,,157,8,0,37,1840,87,5522,668,720682,4,75,0,203,8117
054-VMART AMBALA,AMBALA,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,41,320,20,340,9,10,2,D-Oct-YY,44,259,,5,,24,,,,,,22,2,7,3,34,,79,2,0,3,756,12,6572,60,355958,21,8,0,85,7400
280-VMART ZIRAKPUR-BUS STAND,ZIRAKPUR-BUS STAND,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,101286,299,5,304,48,42,2,D-Oct-YY,78,529,1,9,,36,,,,,,33,15,17,,,,118,147,11,,1627,198,5922,,550812,0,46,0,276,7747
055-VMART JALANDHAR,JALANDHAR,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,12,448,20,468,12,15,3,D-Oct-YY,42,403,9,8,1,75,,,,4,,53,22,26,21,122,,178,69,0,27,2534,303,5772,462,901630,18,78,0,274,9071
057-VMART PATHANKOT,PATHANKOT,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,13,42,15,57,1,2,3,D-Oct-YY,59,510,1,5,1,74,,,,7,,51,11,31,23,116,,179,18,0,30,2321,108,6842,397,852298,6,81,0,227,9668
058-VMART GURDASPUR,GURDASPUR,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,21,96,15,111,3,3,3,D-Oct-YY,86,589,7,9,2,67,,,,3,,33,17,15,41,106,,122,25,0,51,1612,207,5522,930,594790,11,75,0,198,8271
078-VMART SRINAGAR,SRINAGAR,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,56,234,30,264,7,10,5,D-Oct-YY,127,755,8,27,12,399,,8,,98,,311,215,161,52,739,,1162,279,2,59,23186,3423,20502,1309,5373036,19,521,0,1501,48420
133-VMART UDHAMPUR,UDHAMPUR,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,101028,110,15,125,3,5,5,D-Oct-YY,65,416,1,28,1,144,,2,,10,,96,49,41,44,230,,376,165,0,57,4501,1046,650,1164,1655272,6,179,0,598,7361
158-VMART KATHUA,KATHUA,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,101059,610,25,635,16,48,5,D-Oct-YY,129,342,10,34,3,172,,4,,15,,108,46,41,84,279,,331,102,11,95,5283,621,5835,2010,1879992,8,227,0,539,13749
031-VMART VARANASI,VARANASI,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,50,6,1,7,0,1,3,D-Oct-YY,88,804,14,23,,101,,,,1,,56,14,23,70,163,,208,47,0,82,2326,322,5846,1700,983388,7,132,0,338,10194
036-VMART PAHARIA,PAHARIA,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,85,805,20,825,21,24,3,D-Oct-YY,108,1113,14,148,,112,,,,1,,44,22,21,210,297,,149,61,0,244,1632,370,5842,4521,945028,11,264,0,454,12365
196-VMART MUGHALSARAI,MUGHALSARAI,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,101146,822,20,842,14,5,2,D-Oct-YY,57,785,6,35,,57,,,,2,,34,24,16,46,120,,122,69,0,48,1592,216,5661,1011,628036,8,92,0,238,8480
059-VMART AJMER,AJMER,R-40,"KOTHPUTLI,NEEMKA THANA,DIDWANA",40,15,135,10,145,3,48,2,D-Oct-YY,117,896,7,16,,26,,,,6,,31,5,19,15,70,,110,10,15,15,1266,74,6608,359,516074,25,30,0,150,8307
060-VMART NAGOUR,NAGOUR,R-40,"KOTHPUTLI,NEEMKA THANA,DIDWANA",40,78,153,10,163,4,24,1,D-Oct-YY,80,394,10,24,,37,,,,3,,38,9,17,27,91,,35,8,9,27,1634,101,5544,643,646198,10,64,0,79,7922
064-VMART UDAIPUR,UDAIPUR,R-41,"KOTHPUTLI,JAIPUR,KISHANGANJ",41,31,613,2,615,72,2,3,D-Oct-YY,143,706,4,22,1,104,,,,3,,84,24,36,23,167,,309,43,17,25,4004,610,5585,518,1399558,29,104,0,394,10717
232-VMART SANGANER-JAIPUR,SANGANER-JAIPUR,R-41,"KOTHPUTLI,JAIPUR,KISHANGANJ",41,101206,228,3,231,24,1,1,D-Oct-YY,31,355,,11,,44,,,,1,,35,15,23,2,75,,131,29,13,1,1250,278,6853,36,584552,8,48,0,174,8417
275-VMART JAIPUR-JHOTWARA,JAIPUR-JHOTWARA,R-41,"KOTHPUTLI,JAIPUR,KISHANGANJ",41,101280,228,2,230,24,1,1,D-Oct-YY,44,583,5,27,2,77,,,,1,,51,24,34,28,137,,179,51,17,29,1881,514,8946,611,880316,284,-174,0,277,11952
068-VMART LAWGARDEN,LAWGARDEN,R-42,"KOTHPUTLI,JAIPUR,UDAIPUR",42,1,85,10,95,2,3,4,D-Oct-YY,52,157,5,10,,40,,,,,,45,,37,,,,81,,10,,1939,,6601,,714780,33,22,0,91,8540
069-VMART VADODARA,VADODARA,R-42,"KOTHPUTLI,JAIPUR,UDAIPUR",42,8,115,10,125,3,4,4,D-Oct-YY,35,176,7,6,1,40,,,,1,,38,,27,11,,,82,,12,15,1778,,5574,326,614438,16,38,0,109,7678
070-VMART MEHSANA,MEHSANA,R-42,"KOTHPUTLI,JAIPUR,UDAIPUR",42,36,864,20,884,22,24,4,D-Oct-YY,111,592,8,32,,67,,,,2,,49,12,21,46,128,,82,40,14,56,1986,134,5555,837,844984,41,68,0,192,8512
072-VMART JAMNAGAR,JAMNAGAR,R-43,"KOTHPUTLI,JAIPUR,UDAIPUR",43,72,1260,15,1275,32,38,4,D-Oct-YY,59,444,5,9,1,49,,,,1,,34,11,25,17,87,,65,21,13,15,1517,121,5553,392,576354,17,47,0,114,7583
073-VMART GANDHIDHAM,GANDHIDHAM,R-43,"KOTHPUTLI,JAIPUR,UDAIPUR",43,34,129,10,139,3,4,4,D-Oct-YY,73,573,10,27,,70,,,,2,,47,8,24,52,131,,83,11,13,57,1949,116,5554,976,812028,16,93,0,165,8595
074-VMART MORVI,MORVI,R-43,"KOTHPUTLI,JAIPUR,UDAIPUR",43,100055,100,10,110,3,3,4,D-Oct-YY,47,501,10,23,1,72,,,,,,42,29,20,32,123,,77,29,10,38,1837,171,1073,824,750184,9,96,0,154,3905
005-VMART SHIVPURI,SHIVPURI,R-44,"NUH,HODEL,KOSHI,GWALIOR",44,100171,435,15,450,11,24,4,D-Oct-YY,161,513,2,16,1,75,,5,,1,,39,26,24,28,117,,132,61,13,35,1542,377,2346,737,693260,14,85,0,241,5002
163-VMART SAGAR,SAGAR,R-44,"NUH,HODEL,KOSHI,GWALIOR",44,101064,315,10,325,8,15,4,D-Oct-YY,54,187,1,6,,23,,2,,1,,21,5,16,2,44,,66,4,20,2,729,42,6094,40,344416,9,24,0,93,6905
290-VMART JABALPUR-DAMOHNAKA,JABALPUR-DAMOHNAKA,R-44,"NUH,HODEL,KOSHI,GWALIOR",44,101315,839,5,844,72,2,3,D-Oct-YY,144,1903,2,12,5,67,,6,,12,,67,39,35,3,144,,247,102,0,4,3600,791,5522,66,1136450,0,99,0,353,9979
123-VMART SITAMARHI-BIHAR,SITAMARHI,R-45,"GURGAON,DELHI,HAPUR,MORADABAD",45,101011,68,10,78,2,2,4,D-Oct-YY,140,986,8,38,,36,,,,13,,28,29,12,40,109,,103,115,0,52,1141,428,1050,907,535696,12,83,0,271,3526
126-VMART MUZAFFARPUR-BIHAR,MUZAFFARPUR,R-45,"GURGAON,DELHI,HAPUR,MORADABAD",45,100206,1080,20,1100,28,35,4,D-Oct-YY,97,909,11,14,,46,,,,6,,36,7,18,33,94,,132,55,0,46,1587,135,1050,845,616794,9,68,0,233,3617
173-VMART SHEOHAR,SHEOHAR,R-45,"GURGAON,DELHI,HAPUR,MORADABAD",45,101091,25,5,30,1,1,4,D-Oct-YY,71,492,11,19,,35,,,,3,,31,9,10,28,78,,53,15,0,31,1318,178,6572,582,535996,5,63,0,99,8650
253-MUZAFFARPUR-MARIPUR CHOWK,MUZAFFARPUR-MARIPUR CHOWK,R-45,"GURGAON,DELHI,HAPUR,MORADABAD",45,101244,1074,6,1080,96,98,4,,,,,,,2,,,,2,,,,,,,,,,,,,,,,0,35,-31,0,0,0
114-VMART KEONJHAR,KEONJHAR,R-46,"HODEL,ALLAHBAD,AURANGABAD,JAMSHEDPUR",46,101002,180,10,190,4,120,5,D-Oct-YY,83,272,7,3,1,45,,,,3,,47,12,17,3,79,,60,13,0,4,2358,170,1050,30,770818,17,41,0,78,3608
124-VMART BARIPADA,BARIPADA,R-46,"HODEL,ALLAHBAD,AURANGABAD,JAMSHEDPUR",46,101012,1475,10,1485,2,120,5,D-Oct-YY,78,264,1,4,,33,,,,4,,18,15,9,10,52,,29,72,11,10,712,244,1451,253,322412,30,12,0,122,2660
134-VMART DHENKANAL,DHENKANAL,R-46,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",46,101029,43,10,53,7,120,5,D-Oct-YY,34,129,,,,15,,,,1,,11,7,4,,,,20,9,,,370,117,,,187156,5,11,0,28,487
139-VMART CUTTACK,CUTTACK,R-46,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",46,101034,180,10,190,6,120,5,D-Oct-YY,69,204,,3,,30,,,,,,18,12,5,6,41,,35,17,,7,641,210,,120,313140,12,21,0,58,971
113-VMART BERHAMPUR-ORISSA,BERHAMPUR,R-47,"HODEL,ALLAHBAD,AURANGABAD,JAMSHEDPUR",47,101000,519,10,529,4,120,5,D-Oct-YY,89,295,3,3,,13,,,,4,,10,5,7,6,28,,21,8,1,6,395,68,501,198,173636,6,17,0,36,1162
116-VMART BHADRAK,BHADRAK,R-47,"HODEL,ALLAHBAD,AURANGABAD,JAMSHEDPUR",47,101004,1599,10,1609,4,120,5,D-Oct-YY,49,175,,2,,9,,,,,,3,1,2,6,12,,9,2,0,7,136,6,1050,120,55344,14,-3,0,18,1312
135-VMART URBAN BANK ROAD,URBAN BANK ROAD,R-47,"HODEL,ALLAHBAD,AURANGABAD,JAMSHEDPUR",47,101030,173,10,183,3,120,5,D-Oct-YY,126,299,,10,1,19,,,,3,,18,16,9,,,,38,19,0,,690,245,1050,,314328,19,13,0,57,1985
260-VMART BHUBANESWAR,BHUBANESWAR,R-47,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",47,101254,128,10,138,4,120,5,,,,,12,50,692,,2,,163,,950,3,403,,,,3468,2,,,71775,36,,,15095128,10,859,0,3470,71811
128-VMART JHARSUGUDA,JHARSUGUDA,R-48,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",48,101023,212,10,222,3,120,5,D-Oct-YY,62,206,2,4,1,43,,,,2,,29,14,13,13,69,,55,17,0,15,1175,248,1050,332,498318,13,38,0,87,2805
129-VMART SAMBALPUR,SAMBALPUR,R-48,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",48,101024,51,10,61,5,144,6,D-Oct-YY,109,109,,8,1,181,,,,36,,81,47,75,80,283,,260,92,160,109,3848,783,15821,1875,1448956,17,208,0,621,22327
140-VMART NABARANGPUR,NABARANGPUR,R-48,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",48,101035,347,10,357,3,96,4,D-Oct-YY,122,337,4,9,,101,,,,2,,46,51,21,23,141,,104,111,0,23,1644,636,1050,492,843918,17,99,0,238,3822
172-VMART GUMLA,GUMLA,R-48,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",48,101090,1184,10,1194,2,120,5,D-Oct-YY,157,434,5,15,,93,,,,1,,58,23,18,40,139,,164,36,0,46,2134,233,5522,854,1001560,6,108,0,245,8743
042-VMART PATNA CITY,PATNA CITY,R-49,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",49,100586,1086,10,1096,96,96,4,D-Oct-YY,85,1060,5,15,,14,,,,4,,18,7,4,13,42,,68,13,0,16,827,169,1050,320,311162,16,22,0,97,2366
241-VMART KANKARBAGH-PATNA,KANKARBAGH-PATNA,R-49,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",49,101230,1071,10,1081,24,96,4,D-Oct-YY,53,602,1,2,,14,,,,3,,17,2,7,1,27,,60,6,0,0,602,54,5522,12,274566,10,10,0,66,6190
276-VMART PATNA-KURJI,PATNA-KURJI,R-49,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",49,101281,1072,5,1077,96,94,4,D-Oct-YY,34,428,,2,,19,,,,1,,22,,6,,,,73,,0,,812,,5522,,349448,0,22,0,73,6334
024-VMART ALLAHABAD,ALLAHABAD,R-5,"HODEL,AGRA,KANPUR,ALLAHBAD",5,100365,680,15,695,17,24,3,D-Oct-YY,67,1003,,20,1,131,,,,48,,87,96,35,19,237,,334,171,0,14,3697,1344,316,294,1571138,21,178,0,519,5651
103-VMART KOTWALI-ALLAHABAD,KOTWALI,R-5,"HODEL,AGRA,KANPUR,ALLAHBAD",5,100801,2,1,3,0,1,3,D-Oct-YY,140,750,9,13,,67,,,,17,,43,15,19,48,125,,150,21,0,54,1777,231,105,1024,756980,17,89,0,225,3137
160-VMART REWA,REWA,R-5,"HODEL,AGRA,KANPUR,ALLAHBAD",3,101061,227,15,242,6,10,3,D-Oct-YY,106,549,7,9,,49,,,,9,,31,19,16,26,92,,110,20,0,37,1346,224,5522,763,551784,10,64,0,167,7855
120-VMART PILIBHIT,PILIBHIT,R-50,"GURGAON,DELHI,HAPUR",50,101008,123,10,133,3,6,2,D-Oct-YY,64,540,7,10,,47,,,,1,,28,8,16,24,76,,104,12,12,25,1344,145,430,718,482624,11,54,0,153,2637
155-VMART AMROHA,AMROHA,R-50,"GURGAON,DELHI,HAPUR",50,101056,199,10,209,5,10,1,D-Oct-YY,48,402,,8,,68,,,,3,,54,7,25,16,102,,185,16,4,18,2111,66,5602,401,885944,13,66,0,223,8180
162-VMART RAMPUR,RAMPUR,R-50,"GURGAON,DELHI,HAPUR",50,101063,85,5,90,2,5,2,D-Oct-YY,49,362,1,17,,49,,,,2,,34,10,15,25,84,,126,16,4,28,1388,113,5635,708,582466,9,60,0,174,7844
243-VMART BISALPUR-EIDGAH CHAURAHA,BISALPUR-EIDGAH CHAURAHA,R-50,"GURGAON,DELHI,HAPUR",50,101233,123,10,133,3,6,2,D-Oct-YY,16,291,,4,,32,,,,4,,36,,16,2,,,126,,0,3,1383,,5642,30,573796,14,26,0,129,7055
267-VMART UDALGURI-MG ROAD,UDALGURI-MG ROAD,R-50,"AGRA,LUKNOW,GORAKHPUR",50,101261,1996,10,2006,144,146,6,,,,1,28,,295,,,,55,,98,217,60,60,435,,342,417,0,47,4659,3242,1411,894,2001184,0,379,0,806,10206
046-VMART MEERUT,MEERUT,R-51,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",51,35,138,5,143,48,48,2,D-Oct-YY,58,305,2,21,,31,,,,1,,34,2,14,16,66,,131,3,11,14,1208,54,5942,398,559384,8,47,0,158,7602
230-VMART BIJNOR,BIJNOR,R-51,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",51,101200,225,5,230,48,4,2,D-Oct-YY,57,266,7,20,,56,,,,3,,71,3,25,12,111,,111,5,0,17,2800,17,5630,323,1144924,14,72,0,133,8770
240-VMART GARH ROAD-MEERUT,GARH ROAD-MEERUT,R-51,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",51,101229,138,5,143,48,48,2,D-Oct-YY,59,243,,12,,26,,,,2,,30,5,17,3,55,,106,9,11,2,1083,166,5972,36,488358,6,34,0,128,7257
066-VMART JHANSI,JHANSI,R-52,"HODEL,AGRA,FIROZABAD",52,100050,118,15,133,3,6,2,D-Oct-YY,120,1001,12,34,1,72,,,,2,,37,31,14,53,135,,137,38,0,59,1454,265,10,1280,695022,8,112,0,235,3009
132-VMART ORAI,ORAI,R-52,"HODEL,AGRA,FIROZABAD",52,101027,103,10,113,3,18,2,D-Oct-YY,84,780,,5,,48,,,,,,32,9,12,10,63,,120,17,0,13,1276,118,500,242,534132,8,45,0,150,2136
191-VMART HAMIRPUR,HAMIRPUR,R-52,"HODEL,AGRA,FIROZABAD",52,101141,520,10,530,13,1,1,D-Oct-YY,72,579,5,8,,40,,,,,,26,5,13,23,67,,89,23,0,30,1153,62,5522,603,444542,10,43,0,142,7340
040-VMART ARRAH,ARRAH,R-53,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",53,46,75,10,85,2,5,4,D-Oct-YY,179,1656,15,94,3,153,,,,6,,50,53,21,174,298,,175,71,0,200,2169,685,5522,3498,1059892,15,253,0,446,11874
153-VMART BUXAR,BUXAR,R-53,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",53,101054,79,10,89,2,5,4,D-Oct-YY,48,478,8,13,,49,,,,1,,29,10,10,34,83,,70,12,11,39,1172,140,300,791,511920,8,63,0,132,2403
167-VMART BHABUA,BHABUA,R-53,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",53,101068,894,15,909,21,36,3,D-Oct-YY,40,486,9,29,,54,,,,3,,38,22,13,34,107,,80,31,11,40,1444,373,6876,811,676188,6,89,0,161,9504
084-VMART SAHARSA,SAHARSA,R-54,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",54,88,22,5,27,1,2,5,D-Oct-YY,77,461,2,13,,18,,,,10,,16,12,9,15,52,,55,46,0,15,593,156,6572,324,290246,7,36,0,116,7645
156-VMART MADHEPURA,MADHEPURA,R-54,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",54,101057,1295,20,1315,33,50,5,D-Oct-YY,96,797,7,12,,27,,,,8,,21,12,12,20,65,,72,21,0,27,929,95,6572,484,374596,11,43,0,120,8080
215-VMART SUPAUL,SUPAUL,R-54,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",54,101179,1237,30,1267,51,51,2,D-Oct-YY,90,830,10,28,,33,,,,8,,20,7,13,53,93,,44,10,1,68,864,109,7072,1327,382370,22,57,0,121,9372
032-VMART LUXA,LUXA,R-55,"HODEL,AGRA,KANPUR,ALLAHBAD",55,67,805,10,815,20,24,3,D-Oct-YY,81,880,11,54,,87,,,,,,53,6,23,91,173,,197,9,0,105,2297,98,5932,1932,942234,13,139,0,311,10259
141-VMART DURGAKUND-VARANASI,DURGAKUND,R-55,"HODEL,AGRA,KANPUR,ALLAHBAD",55,101036,4,1,5,0,1,3,D-Oct-YY,67,714,15,13,,96,,,,3,,31,9,15,85,140,,119,53,0,103,1268,76,163,1875,592198,12,115,0,275,3382
165-VMART BHOJUBEER,BHOJUBEER,R-55,"HODEL,AGRA,KANPUR,ALLAHBAD",55,101066,4,1,5,0,1,3,D-Oct-YY,63,683,2,24,,48,,,,4,,27,13,12,38,90,,101,17,0,41,1064,159,5782,800,489424,11,67,0,159,7805
061-VMART BHOPAL,BHOPAL,R-56,"NUH,HODEL,KOSHI,GWALIOR",56,9,775,15,790,20,28,3,D-Oct-YY,135,880,10,15,1,27,,1,,6,,13,12,5,33,63,,43,43,0,32,584,118,5772,667,260342,25,34,0,118,7141
062-VMART UJJAIN,UJJAIN,R-56,"NUH,HODEL,KOSHI,GWALIOR",56,45,961,10,971,5,6,4,D-Oct-YY,78,581,10,24,1,8,,,,2,,12,5,5,29,51,,16,12,0,31,390,74,5532,527,228082,24,20,0,59,6523
063-VMART BERASIA,BERASIA,R-56,"NUH,HODEL,KOSHI,GWALIOR",56,66,775,15,790,20,28,3,D-Oct-YY,41,348,3,6,,5,,,,12,,10,5,5,12,32,,33,4,0,16,466,25,5522,197,179552,7,19,0,53,6210
255-VMART GWALIOR-SURYA NAGAR,GWALIOR-SURYA NAGAR,R-57,"NUH,HODEL,KOSHI,GWALIOR",57,101249,317,2,319,24,1,1,D-Oct-YY,64,489,5,8,4,6,,,,14,,22,8,9,9,48,,64,19,0,12,1164,206,5522,234,372530,13,20,0,95,7126
259-VMART GWALIOR-LASHKAR,GWALIOR-LASHKAR,R-57,"NUH,HODEL,KOSHI,GWALIOR",57,101253,317,2,319,24,1,1,D-Oct-YY,74,668,9,30,1,11,,,,9,,25,17,12,17,71,,98,43,0,17,1332,275,5773,439,444054,31,28,0,159,7819
288-VMART INDORE-ANNAPURNA ROAD,INDORE-ANNAPURNA ROAD,R-57,"NUH,HODEL",57,101313,830,6,836,72,3,3,,,,,37,1,850,,3,,164,,632,310,295,164,1401,,2334,529,68,128,36923,5120,11598,3022,10750952,0,1054,0,3058,56663
150-VMART LATEHAR,LATEHAR,R-58,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ
 
 HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",58,101045,1100,20,1120,28,40,4,D-Oct-YY,55,456,7,12,,6,,6,,10,,12,11,5,18,46,,33,23,11,20,523,159,300,526,227892,3,38,0,87,1508
207-VMART LOHARDAGA,LOHARDAGA,R-58,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",58,101165,78,2,80,2,5,4,D-Oct-YY,77,739,9,24,1,15,,7,,10,,17,15,8,33,73,,48,14,11,34,684,244,5822,881,329206,6,59,0,107,7631
265-VMART DALTONGANJ-REDMA CHOWK,DALTONGANJ-REDMA CHOWK,R-58,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",58,101259,1031,5,1036,2,96,4,D-Oct-YY,72,653,,13,,14,,7,,9,,19,21,10,1,51,,73,34,11,0,1015,419,5822,6,340078,367,-324,0,118,7262
088-VMART CHAAS,CHAAS,R-59,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",59,100110,35,5,40,1,2,5,D-Oct-YY,93,714,1,12,,68,,,,1,,41,27,21,16,105,,148,40,0,18,1776,318,3150,328,714972,24,58,0,206,5572
151-VMART PHUSRO,PHUSRO,R-59,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",59,101046,1192,20,1212,30,40,4,D-Oct-YY,123,821,8,14,1,62,,,,2,,40,12,16,35,103,,136,26,0,40,1584,206,1050,761,691182,18,68,0,203,3601
170-VMART RAMGARH,RAMGARH,R-59,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",59,101071,85,10,95,2,4,5,D-Oct-YY,58,534,,10,2,43,,,,,,41,9,17,9,76,,143,15,0,10,1553,101,6572,188,676102,22,31,0,167,8414
